22:59:19:827 [ALWAYS]	GUDE Logging Started
22:59:19:827 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:59:19:827 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:59:19:827 [ERROR]	Initialize resume cache pointer failure
22:59:19:828 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
22:59:19:828 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
22:59:21:356 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
22:59:21:356 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:59:21:356 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:59:21:357 [ERROR]	Initialize resume cache pointer failure
22:59:21:357 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
22:59:21:357 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
